Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
example-shirt,Example T-Shirt,"<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>",Acme,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Shirts,"Made to Order, Shirt Tag",TRUE,Color,Green,Size,S,,,SRT_COT_111,145,,0,deny,manual,25,,TRUE,TRUE,365275101829,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Example T-Shirt | Test Store,Cotton shirts from our store.,212,male,adult,365275101829,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
example-shirt,,,,,,,,,Green,,M,,,SRT_COT_122,145,,0,deny,manual,25,,TRUE,TRUE,463469551155,https://burst.shopifycdn.com/photos/blank-colored-t-shirts.jpg?width=1500,2,T-Shirt color swatches,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Green,,L,,,SRT_COT_133,145,,0,deny,manual,25,,TRUE,TRUE,538375999373,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,3,Green T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,S,,,SRT_COT_211,145,,0,deny,manual,25,,TRUE,TRUE,556156161410,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,4,Blue T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,M,,,SRT_COT_222,145,,0,deny,manual,25,,TRUE,TRUE,243307265092,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,5,Gray T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,L,,,SRT_COT_233,145,,0,deny,manual,25,,TRUE,TRUE,777979207524,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,6,Purple T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,S,,,SRT_COT_311,145,,0,deny,manual,25,,TRUE,TRUE,363131220054,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,M,,,SRT_COT_322,145,,0,deny,manual,25,,TRUE,TRUE,246715878598,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,L,,,SRT_COT_333,145,,0,deny,manual,25,,TRUE,TRUE,845853890770,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Purple,,S,,,SRT_COT_411,145,,0,deny,manual,25,,TRUE,TRUE,897446170659,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Purple,,M,,,SRT_COT_422,145,,0,deny,manual,25,,TRUE,TRUE,541330997444,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Purple,,L,,,SRT_COT_433,145,,0,deny,manual,25,,TRUE,TRUE,738293196816,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,g,,,,,,,,,
